invasion_type	round	training_loss	training_rmse	validation_rmse	neg_count_val
early	0	8.775229454040527	4.848609447479248	5.387862682342529	200

early	1	4.082465648651123	3.2457644939422607	3.972156047821045	1

early	2	2.5157482624053955	1.9565858840942383	2.5727334022521973	0

early	3	1.8517612218856812	0.9477753043174744	1.5213103294372559	0

early	4	1.4630458354949951	0.5353226661682129	1.085414171218872	0

early	5	1.1413977146148682	0.3662030100822449	0.9055023193359375	0

early	6	0.8419793248176575	0.24672147631645203	0.7841814160346985	0

early	7	0.5884039402008057	0.16465209424495697	0.7098907828330994	0

early	8	0.39642295241355896	0.10697118192911148	0.6771944165229797	0

early	9	0.2681182324886322	0.06799086183309555	0.6867425441741943	0

early	10	0.1912207007408142	0.045898888260126114	0.7088608145713806	0

early	11	0.14733490347862244	0.037417832762002945	0.7161529660224915	0

early	12	0.12026849389076233	0.03696995973587036	0.7096462249755859	0

early	13	0.10177545994520187	0.03809328377246857	0.700157642364502	0

early	14	0.08632291853427887	0.0395018644630909	0.6955058574676514	0

early	15	0.07287760823965073	0.040601637214422226	0.6891053318977356	0

early	16	0.06220052018761635	0.04135112836956978	0.6855558156967163	0

early	17	0.052382294088602066	0.042077600955963135	0.6804513931274414	0

early	18	0.04353567585349083	0.042889125645160675	0.6738666892051697	0

early	19	0.03573216125369072	0.043737467378377914	0.6678318381309509	0

early	20	0.02902057394385338	0.044334542006254196	0.6649701595306396	0

early	21	0.023595312610268593	0.04514390975236893	0.6564751863479614	0

early	22	0.018797852098941803	0.04585067182779312	0.6580777764320374	0

early	23	0.014433723874390125	0.04680329188704491	0.6532946228981018	0

early	24	0.009813151322305202	0.04768765717744827	0.6496066451072693	0

early	25	0.005959310103207827	0.049057696014642715	0.6482640504837036	0

early	26	0.0018915365217253566	0.04968798905611038	0.6430078148841858	0

early	27	-0.0014411458978429437	0.05103389918804169	0.642889678478241	0

early	28	-0.002856966108083725	0.05224914476275444	0.6435084342956543	0

early	29	-0.005771874915808439	0.05354984477162361	0.6440081000328064	0

early	30	-0.007275260519236326	0.054045673459768295	0.6398069858551025	0

early	31	-0.011136849410831928	0.0570768266916275	0.6374623775482178	0

early	32	-0.010291341692209244	0.057721104472875595	0.6354756951332092	0

early	33	-0.013844922184944153	0.058748502284288406	0.6365020275115967	0

early	34	-0.012798372656106949	0.05999802052974701	0.6388537883758545	0

early	35	-0.014030859805643559	0.06349609792232513	0.6374920606613159	0

early	36	-0.0157228522002697	0.06535635143518448	0.6354441046714783	0

early	37	-0.01750820316374302	0.06733870506286621	0.6421584486961365	0

early	38	-0.01776282489299774	0.06851386278867722	0.6380939483642578	0

early	39	-0.017333008348941803	0.07200953364372253	0.6473313570022583	0

early	40	-0.020803451538085938	0.0722201019525528	0.6377893090248108	0

early	41	-0.021180404350161552	0.07684843242168427	0.6493329405784607	0

early	42	-0.018134504556655884	0.07986242324113846	0.6528505086898804	0

early	43	-0.018085872754454613	0.08205977082252502	0.6397006511688232	0

early	44	-0.02140839956700802	0.08867377042770386	0.6535295844078064	0

early	45	-0.018962889909744263	0.08569018542766571	0.6527478098869324	0

early	46	-0.02224244736135006	0.08940981328487396	0.6502421498298645	0

early	47	-0.020449480041861534	0.08608168363571167	0.6459922790527344	0

early	48	-0.0198861975222826	0.0896604135632515	0.6598047018051147	0

early	49	-0.019232161343097687	0.09240119904279709	0.6447129845619202	0

