invasion_type	round	training_loss	training_rmse	validation_rmse	neg_count_val
early	0	15.26071834564209	6.07558012008667	6.790321350097656	2

early	1	8.021696090698242	4.640399932861328	5.382238864898682	53

early	2	5.0297088623046875	3.8368096351623535	4.564600467681885	29

early	3	3.5390100479125977	2.9937727451324463	3.6732418537139893	0

early	4	2.699251651763916	2.231365442276001	2.8835060596466064	0

early	5	2.2531721591949463	1.5568873882293701	2.2058451175689697	0

early	6	1.9559053182601929	1.0643320083618164	1.6789414882659912	0

early	7	1.748276710510254	0.7423087358474731	1.3035513162612915	0

early	8	1.5827734470367432	0.5724007487297058	1.0912543535232544	0

early	9	1.4204849004745483	0.47814181447029114	0.9554141163825989	0

early	10	1.2547848224639893	0.3968746066093445	0.8401427865028381	0

early	11	1.0881117582321167	0.32961565256118774	0.7433293461799622	0

early	12	0.9239557981491089	0.2725083529949188	0.6606829762458801	0

early	13	0.7659050822257996	0.2248820960521698	0.5918510556221008	0

early	14	0.617474377155304	0.18523818254470825	0.5370628833770752	0

early	15	0.48253023624420166	0.15409362316131592	0.49681806564331055	0

early	16	0.3653605580329895	0.12899327278137207	0.47020450234413147	0

early	17	0.2706965208053589	0.10906735062599182	0.45473673939704895	0

early	18	0.2022429257631302	0.09143312275409698	0.45223402976989746	0

early	19	0.15736433863639832	0.07484535127878189	0.46760255098342896	0

early	20	0.125724196434021	0.06091776862740517	0.49313318729400635	0

early	21	0.09730460494756699	0.05023517459630966	0.5182463526725769	0

early	22	0.07774536311626434	0.043140724301338196	0.5321999788284302	0

early	23	0.06639298796653748	0.03937268629670143	0.5388641357421875	0

early	24	0.05864477530121803	0.03871433436870575	0.5398285984992981	0

early	25	0.052357178181409836	0.03931978717446327	0.535954475402832	0

early	26	0.04523185268044472	0.03941469267010689	0.5318460464477539	0

early	27	0.038832031190395355	0.03972429409623146	0.5279784202575684	0

early	28	0.03332177549600601	0.040282927453517914	0.5232747793197632	0

early	29	0.02708715759217739	0.040699027478694916	0.5259037017822266	0

early	30	0.023718098178505898	0.04096551984548569	0.5203396677970886	0

early	31	0.019358642399311066	0.04112504795193672	0.5177639722824097	0

early	32	0.016104411333799362	0.04147162288427353	0.516676664352417	0

early	33	0.011943603865802288	0.04135737195611	0.5126906633377075	0

early	34	0.0077088214457035065	0.041948556900024414	0.5146723389625549	0

early	35	0.006027669180184603	0.042445480823516846	0.5106455087661743	0

early	36	0.0023483072873204947	0.0426933579146862	0.507540225982666	0

early	37	-0.0010625814320519567	0.042223405092954636	0.5107966661453247	0

early	38	-0.00492146797478199	0.043340593576431274	0.5121710896492004	0

early	39	-0.003875895170494914	0.0438510924577713	0.5100764036178589	0

