invasion_type	round	training_loss	training_rmse	validation_rmse	neg_count_val
established	0	14.01813793182373	5.779134273529053	6.449007511138916	2

established	1	7.606386184692383	4.526854038238525	5.311850547790527	0

established	2	4.83501672744751	3.730987071990967	4.6168670654296875	0

established	3	3.4133048057556152	2.842456102371216	3.7726943492889404	0

established	4	2.6138498783111572	2.0850718021392822	2.998885154724121	0

established	5	2.1699538230895996	1.3969690799713135	2.2918481826782227	0

established	6	1.862946629524231	0.892387866973877	1.750268816947937	0

established	7	1.6465214490890503	0.6181555986404419	1.4312094449996948	0

established	8	1.4789183139801025	0.4904237389564514	1.2493239641189575	0

established	9	1.3127135038375854	0.4124148488044739	1.1255124807357788	0

established	10	1.142581820487976	0.3434627056121826	1.022769808769226	0

established	11	0.9718751907348633	0.2858811914920807	0.9387415647506714	0

established	12	0.8048530220985413	0.23848381638526917	0.8664172291755676	0

established	13	0.6457826495170593	0.20045047998428345	0.8050172924995422	0

established	14	0.4989432692527771	0.16862164437770844	0.754928469657898	0

established	15	0.36843177676200867	0.14305025339126587	0.7156992554664612	0

established	16	0.25838175415992737	0.12146808952093124	0.6877645254135132	0

established	17	0.17142122983932495	0.10320692509412766	0.6702062487602234	0

established	18	0.1061101108789444	0.08931715786457062	0.6615453958511353	0

established	19	0.05729256197810173	0.07900293171405792	0.658774733543396	0

established	20	0.021876057609915733	0.07039621472358704	0.6662245988845825	0

established	21	-0.0028476561419665813	0.06369274854660034	0.6801676154136658	0

established	22	-0.019999999552965164	0.05898847058415413	0.6955233812332153	0

established	23	-0.030480794608592987	0.05571592599153519	0.7084360122680664	0

established	24	-0.038335610181093216	0.0542466938495636	0.719537079334259	0

established	25	-0.04157039523124695	0.053146518766880035	0.7219558954238892	0

established	26	-0.04618074372410774	0.05362003296613693	0.718401312828064	0

established	27	-0.05004549026489258	0.053744081407785416	0.7142959237098694	0

established	28	-0.05335717648267746	0.053826022893190384	0.7101016044616699	0

established	29	-0.055628418922424316	0.054018352180719376	0.7117534875869751	0

established	30	-0.057494547218084335	0.05442507565021515	0.7016327977180481	0

established	31	-0.06081762537360191	0.054339200258255005	0.7053478956222534	0

established	32	-0.06309497356414795	0.0542943961918354	0.7033765912055969	0

established	33	-0.06370759755373001	0.05475544556975365	0.7030488848686218	0

established	34	-0.06550659239292145	0.05516467243432999	0.6978650689125061	0

established	35	-0.06828564405441284	0.05560975894331932	0.6959626078605652	0

established	36	-0.06960766762495041	0.05591430515050888	0.6914557814598083	0

established	37	-0.07023665308952332	0.05639418214559555	0.7005873322486877	0

established	38	-0.07218334823846817	0.056132711470127106	0.6918883919715881	0

established	39	-0.07265486568212509	0.056401755660772324	0.6947746276855469	0

